timestamp,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2024-01-27 13:30:00+05:30,41710.15,41719.85,41421.21,41470.01,1368.20378,2024-01-27 14:29:59.999000+05:30,56887967.907582,46439.0,650.64739,27058162.7042372,0
2024-01-27 14:30:00+05:30,41470.01,41742.7,41394.34,41669.78,1071.11625,2024-01-27 15:29:59.999000+05:30,44531156.3681823,47485.0,610.83669,25396139.8981725,0
2024-01-27 15:30:00+05:30,41669.79,41800.0,41651.1,41747.3,732.18207,2024-01-27 16:29:59.999000+05:30,30557133.4053559,33141.0,405.90176,16938876.6910813,0
2024-01-27 16:30:00+05:30,41747.31,41786.87,41702.88,41761.23,575.83689,2024-01-27 17:29:59.999000+05:30,24045576.9025409,27851.0,302.77286,12642935.8488461,0
2024-01-27 17:30:00+05:30,41761.22,41807.03,41714.0,41750.0,612.54473,2024-01-27 18:29:59.999000+05:30,25578958.656612,30684.0,262.86693,10976485.2622747,0
2024-01-27 18:30:00+05:30,41750.01,41806.55,41725.21,41742.44,419.38468,2024-01-27 19:29:59.999000+05:30,17512269.8271412,35569.0,187.70449,7838232.467547,0
2024-01-27 19:30:00+05:30,41742.44,41818.39,41731.01,41766.0,493.43458,2024-01-27 20:29:59.999000+05:30,20611849.8259391,27238.0,233.95644,9772674.0757304,0
2024-01-27 20:30:00+05:30,41765.99,41894.87,41733.6,41814.0,581.25856,2024-01-27 21:29:59.999000+05:30,24313267.9626721,32410.0,268.18654,11217100.3265384,0
2024-01-27 21:30:00+05:30,41813.99,41895.74,41791.22,41810.18,609.18361,2024-01-27 22:29:59.999000+05:30,25486117.5879198,30278.0,315.81592,13212985.0075206,0
2024-01-27 22:30:00+05:30,41810.17,41845.34,41774.07,41779.28,448.23397,2024-01-27 23:29:59.999000+05:30,18744831.5424396,24681.0,165.4787,6919799.1985967,0
2024-01-27 23:30:00+05:30,41779.28,41817.64,41745.26,41797.62,392.55791,2024-01-28 00:29:59.999000+05:30,16402740.4485773,32042.0,164.11952,6857678.8226965,0
2024-01-28 00:30:00+05:30,41797.62,41986.06,41790.87,41910.47,806.22964,2024-01-28 01:29:59.999000+05:30,33776948.2718601,34306.0,447.52791,18748263.5189116,0
2024-01-28 01:30:00+05:30,41910.48,42076.7,41910.47,42059.93,664.97501,2024-01-28 02:29:59.999000+05:30,27930256.4991081,30156.0,360.26168,15131940.7338004,0
2024-01-28 02:30:00+05:30,42059.94,42176.47,42022.92,42150.59,746.05127,2024-01-28 03:29:59.999000+05:30,31409421.9209226,37393.0,318.28175,13401065.7027125,0
2024-01-28 03:30:00+05:30,42150.59,42200.0,42079.25,42155.51,624.6537,2024-01-28 04:29:59.999000+05:30,26320191.7089043,27144.0,272.42305,11479395.5896222,0
2024-01-28 04:30:00+05:30,42155.5,42171.08,42090.0,42120.63,917.13648,2024-01-28 05:29:59.999000+05:30,38626640.238293,25752.0,263.76642,11110254.1498183,0
2024-01-28 05:30:00+05:30,42120.63,42145.28,41925.0,41990.85,968.77133,2024-01-28 06:29:59.999000+05:30,40737865.5359555,31864.0,286.37986,12038402.5989031,0
2024-01-28 06:30:00+05:30,41990.85,42244.0,41990.85,42100.0,1661.33541,2024-01-28 07:29:59.999000+05:30,69957437.861883,41628.0,595.69344,25089856.4313082,0
2024-01-28 07:30:00+05:30,42100.0,42177.4,42100.0,42102.22,700.8102,2024-01-28 08:29:59.999000+05:30,29517150.5663527,25073.0,219.42089,9241999.9502977,0
2024-01-28 08:30:00+05:30,42102.21,42244.0,42100.0,42231.83,600.99075,2024-01-28 09:29:59.999000+05:30,25324752.6153106,23785.0,320.50717,13505803.3123378,0
